사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202410,2호선,구로디지털단지,510,35,42932,4805,55377,19371,139962,79748,184466,216630,119390,136902,75156,59696,67780,48709,73705,52578,72146,65937,66658,63235,71754,72311,86480,87965,137087,116532,197052,165330,98596,130138,62594,89446,50983,87677,39644,83942,18273,49035,3198,13945,3,468,0,0,0,0,20241103
202410,2호선,구의(광진구청),89,3,13908,1799,26912,42195,70836,18134,115238,39391,72348,22998,42072,22075,34996,22034,36762,24872,35230,28227,32396,29831,36401,37457,50468,44603,47355,62465,45775,96236,27706,69340,20153,47611,17868,45174,14947,41656,8471,23371,1338,6893,4,146,0,0,0,0,20241103
202410,2호선,낙성대(강감찬),32,3,12192,2369,28062,10562,83192,20658,124349,45186,81774,38184,47921,31560,42414,27405,44861,30677,43994,33338,39699,34016,41077,40777,43930,48062,49614,64613,53131,103114,31444,84639,25772,56794,22362,54858,17024,52760,8764,31354,1527,8391,3,191,0,0,0,0,20241103
202410,2호선,당산,43,6,9015,3841,19219,13320,48504,28489,57907,74151,37410,33936,28290,19287,26660,18611,27169,22038,26291,24544,24016,24933,25375,30039,31102,38315,44935,55002,57413,78876,27863,53746,24452,37373,22955,35362,18584,30990,9299,20442,1487,5030,3,176,0,1,0,0,20241103
202410,2호선,대림(구로구청),992,42,40227,3447,30519,11369,67119,21971,97074,51775,66066,35374,42750,34053,36575,36120,38432,34487,37980,35829,35174,36641,36262,44856,40692,54524,45721,66932,51591,71064,26077,52445,19432,42265,15152,50676,10989,45996,5509,23018,681,5600,4,297,0,0,0,0,20241103
202410,2호선,도림천,1,0,378,353,1375,887,3331,3691,3456,5972,2408,2471,2074,1614,2231,1782,2315,1957,1746,1748,2286,2081,2426,1621,2906,2041,3210,2697,3639,3455,1641,2717,1031,1840,903,1631,632,1217,261,881,40,292,1,8,0,0,0,0,20241103
202410,2호선,동대문역사문화공원(DDP),256,14,5259,1171,4754,9105,7683,22807,14067,49313,17594,37132,20235,36193,21323,33919,24427,33772,26517,34607,31493,36574,37259,33726,43516,33033,51684,35773,51360,40042,36083,36271,27714,27288,26180,23177,21452,18461,11867,11572,2376,3387,1,146,0,0,0,0,20241103
202410,2호선,뚝섬,8,0,3395,2712,9420,21708,18588,40088,26583,138130,17939,96834,16209,53205,20076,46983,26464,46865,31353,47377,37934,43255,50696,43469,65111,43580,95087,46611,143993,53442,78266,30373,55086,16505,47535,13636,28571,12352,10930,7469,1534,2688,1,83,0,0,0,0,20241103
202410,2호선,문래,11,0,4370,2412,14714,10778,44184,39868,51228,134095,30009,64429,22552,28919,23117,24858,27145,26899,28241,29609,28538,27343,30894,29555,38279,35340,65749,44347,111718,64258,40009,43313,29842,24983,30015,21482,25552,18723,12310,10660,1949,3673,2,149,0,0,0,0,20241103
202410,2호선,방배,11,0,2571,3428,9352,12981,22667,28462,32080,74608,25646,56753,21001,32703,22963,27880,25335,28856,28870,26956,31044,26065,33736,25455,41682,26058,50769,32522,62615,38028,29635,25405,23214,17195,22720,16122,18927,15589,7038,8829,1452,2519,0,15,0,0,0,0,20241103
202410,2호선,봉천,89,0,16920,1629,29923,7836,84818,13200,122805,27776,77098,21788,46457,20097,38014,23006,38847,25449,38034,26671,33951,30452,31355,40671,33457,46545,32725,59986,33727,90818,20434,72459,16909,47676,14507,44959,10680,41198,4629,23389,931,7909,1,373,0,0,0,0,20241103
202410,2호선,사당,119,3,13849,4420,31077,41548,80204,54765,107510,77570,81160,55689,55258,49067,50349,61550,57576,61457,60339,57032,65703,56973,68352,69289,70907,92147,86012,132648,103201,179911,75930,120709,73259,75618,75833,70450,67431,65241,36879,38194,6130,10848,11,652,0,1,0,0,20241103
202410,2호선,삼성(무역센터),159,1,4690,5584,7359,47345,15434,143088,21111,322810,22199,245189,26188,120915,40499,85123,53822,76686,67113,81907,82098,71538,103016,61867,131724,60674,225480,64099,283816,60392,145364,33895,119017,18743,96559,15944,58221,11600,15902,6359,2181,3831,0,940,0,0,0,0,20241103
202410,2호선,상왕십리,20,0,6360,863,14393,6105,43219,12303,66720,30825,37901,19057,25531,14780,21408,13963,23491,16063,22325,17549,20011,18710,21415,23012,22506,27877,25792,38455,27052,55787,18866,38242,12216,25414,10689,23127,7188,21277,3056,13291,593,4230,1,38,0,0,0,0,20241103
202410,2호선,서울대입구(관악구청),5096,31,29509,2667,44937,15250,127263,28448,177042,72127,119455,66208,73082,55957,64686,48550,71959,52751,76847,57614,66789,58005,69521,68239,77140,79568,85400,109431,90983,172747,56457,136296,48348,89107,48364,84348,41583,81086,22299,47586,3896,18120,3,2700,0,1,0,0,20241103
202410,2호선,서초,6,1,2259,5183,13415,24826,20876,54907,31902,117004,29361,92457,25058,46188,30592,34872,31249,27902,34156,28903,35086,26276,44189,23421,53109,25043,74084,27219,95216,28870,44534,19986,31186,12718,31198,11935,18252,11107,6362,5897,919,1407,1,28,0,0,0,0,20241103
