,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자,Station,Line,Connection,Longitude,Latitude
12,202408,1호선,동묘앞,190,3,2817,1051,3474,5084,8230,8524,13531,18177,12194,17600,14139,22231,18952,26487,25095,26826,26339,27775,28085,24682,27814,22487,30099,19117,25744,15609,19849,12959,10672,9020,5968,6118,4823,6431,3329,6660,1139,4548,114,1734,1,209,0,0,0,0,20240903,동묘앞,1호선,소요산-용산,127.016429,37.572627
13,202407,1호선,동묘앞,243,2,2980,949,3835,5378,8919,10147,14346,21923,12159,17756,12908,20813,18595,26811,23854,29308,28835,31269,29621,26250,30256,23189,30047,18643,28822,15542,21385,13302,11032,9403,6416,6632,5134,6689,3527,6675,1214,4621,151,1984,0,292,0,0,0,0,20240803,동묘앞,1호선,소요산-용산,127.016429,37.572627
14,202406,1호선,동묘앞,253,1,3027,1048,3715,5627,8364,10430,12925,21592,12109,19003,13928,25118,19829,31375,26654,31823,31875,34590,32453,29328,33073,26810,34338,21538,32436,16738,24115,12868,12621,9235,6931,6507,5601,6722,3732,6856,1343,4927,115,1959,1,273,0,1,0,0,20240703,동묘앞,1호선,소요산-용산,127.016429,37.572627
15,202405,1호선,동묘앞,283,2,3219,948,4043,5977,8718,10955,13624,23858,12403,20561,14469,27208,21170,35216,28705,37915,36643,41297,38141,34484,38264,30236,38969,23356,34927,17852,25921,13871,13494,9807,7374,7241,5672,7105,4270,7398,1361,5461,147,2140,2,309,0,0,0,0,20240603,동묘앞,1호선,소요산-용산,127.016429,37.572627
16,202404,1호선,동묘앞,231,1,3091,802,4051,5422,9024,10925,13810,23413,12127,18098,13323,24169,17932,32263,25352,35723,34346,40053,35911,33623,36307,28454,38012,22028,35079,16605,24960,13666,12144,9578,6961,6903,6009,7077,4180,7442,1303,4900,151,2459,2,322,0,0,0,0,20240503,동묘앞,1호선,소요산-용산,127.016429,37.572627
17,202403,1호선,동묘앞,203,3,2895,955,4036,5164,8464,9867,13685,23427,12289,18410,13795,25884,18265,35227,26194,39702,36141,44501,40882,37781,41834,31734,41655,23207,38198,16795,25401,13343,11530,9756,6678,7133,5608,7181,4012,7022,1323,4923,135,2645,0,278,0,0,0,0,20240403,동묘앞,1호선,소요산-용산,127.016429,37.572627
18,202402,1호선,동묘앞,182,2,2391,775,3042,3999,6763,5793,11434,12761,9504,15049,10654,20133,15140,29442,20303,34078,27521,36482,33215,34378,36980,28463,35177,20883,30186,13702,20855,11357,9346,8421,5465,5833,4141,5963,3141,5885,1076,3988,138,2107,3,275,0,0,0,0,20240303,동묘앞,1호선,소요산-용산,127.016429,37.572627
19,202401,1호선,동묘앞,214,1,2921,933,3357,4411,7520,6813,12389,15362,9993,15756,10629,19627,15641,28217,22585,32155,28736,35064,32425,31256,34362,26382,34251,19185,29225,13681,19143,11658,8433,8719,5453,6410,4282,6083,3273,5864,1183,4065,109,1988,3,225,0,0,0,0,20240203,동묘앞,1호선,소요산-용산,127.016429,37.572627
20,202410,1호선,서울역,573,9,8623,9367,14928,61884,42711,117041,76589,237308,72617,161142,71262,91617,86313,83265,97437,91084,94255,94948,84628,88276,114970,87674,133867,89698,194375,98530,231709,98042,126822,69485,91606,49871,92370,45709,59400,29520,29792,13969,2848,3802,1,207,0,0,0,0,20241103,서울역,1호선,소요산-용산,126.972559,37.554648
21,202409,1호선,서울역,511,16,7470,8314,12959,50508,39164,105495,68097,214923,62748,142112,62687,78997,74724,71627,88440,81194,84106,79358,73884,73492,97505,77958,110436,80954,167497,89093,203586,89642,110780,64420,80808,45446,83171,40743,52916,27471,26501,12945,4257,3994,133,302,0,0,0,0,20241003,서울역,1호선,소요산-용산,126.972559,37.554648
